------------ PCB NO.: 13269-1
------------ ITEM   : 455.00G01.M006
------------ Model  : CEDAR14_H PILOT MB #6 S
 
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM3
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM2
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM1
021N2$AA                              IC VRAM H5TC4G63AFR-11C FBGA96P 1.5V 1GH 4    VRAM4
63.33232.11L                          CHIP RES 3.3K J 1/4W 1206                1    PR4214
63.33434.1DL                          CHIP RES 330K J 1/16W 0402               5    R2431
63.33434.1DL                          CHIP RES 330K J 1/16W 0402               5    R2425
63.33434.1DL                          CHIP RES 330K J 1/16W 0402               5    R1903
63.33434.1DL                          CHIP RES 330K J 1/16W 0402               5    R1720
63.33434.1DL                          CHIP RES 330K J 1/16W 0402               5    PR8312
63.33534.1DL                          CHIP RES 3.3M J 1/16W 0402               1    PR4414
63.43034.1DL                          CHIP RES 43 J 1/16W 0402                 2    R2429
63.43034.1DL                          CHIP RES 43 J 1/16W 0402                 2    R701
63.47134.1DL                          CHIP RES 470 J 1/16W 0402                1    R410
63.47234.1DL                          CHIP RES 4.7K J 1/16W 0402               5    R6211
63.47234.1DL                          CHIP RES 4.7K J 1/16W 0402               5    R2501
63.47234.1DL                          CHIP RES 4.7K J 1/16W 0402               5    R2912
63.47234.1DL                          CHIP RES 4.7K J 1/16W 0402               5    R2913
63.47234.1DL                          CHIP RES 4.7K J 1/16W 0402               5    R3606
63.47333.15L                          CHIP RES 47K J 1/10W 0603                1    PR4208
63.47434.1DL                          CHIP RES 470K J 1/16W 0402               1    PR4405
63.51034.1DL                          CHIP RES 51 J 1/16W 0402                 1    R406
63.51334.1DL                          CHIP RES 51K J 1/16W 0402                1    R6206
63.56034.1DL                          CHIP RES 56 J 1/16W 0402                 1    R403
63.62034.1DL                          CHIP RES 62 J 1/16W 0402                 1    R401
63.75434.1DL                          CHIP RES 750K J 1/16W 0402               1    R8314
63.R0007.1BL                          CHIP RES 0 J 1/2W 1210(ROHS)             1    EL4203
63.R0031.16L                          CHIP RES 0 J 1/8W 0805                   3    R2122
63.R0031.16L                          CHIP RES 0 J 1/8W 0805                   3    R3801
63.R0031.16L                          CHIP RES 0 J 1/8W 0805                   3    R5211
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2612
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2712
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2716
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2720
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2916
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R6212
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R6216
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7308
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7623
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7629
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7630
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7636
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7652
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R7653
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R8303
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   PR4422
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2448
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R2437
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R1728
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R1710
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R1512
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R1704
63.R0034.1DL                          CHIP RES 0 J 1/16W 0402                  23   R1708
64.10005.6DL                          CHIP RES 100 F 1/16W 0402                5    R901
64.10005.6DL                          CHIP RES 100 F 1/16W 0402                5    R702
64.10005.6DL                          CHIP RES 100 F 1/16W 0402                5    R409
64.10005.6DL                          CHIP RES 100 F 1/16W 0402                5    PR8213
64.10005.6DL                          CHIP RES 100 F 1/16W 0402                5    PR8212
64.10015.6DL                          CHIP RES 1K F 1/16W 0402                 1    PR4908
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7511
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7512
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7510
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7509
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7508
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   R7302
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   PR4903
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   PR4822
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   PR4523
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   PR4435
64.10025.6DL                          CHIP RES 10K F 1/16W 0402                11   PR4401
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    R7306
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    PR4610
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    R2406
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    R2407
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    R707
64.10035.6DL                          CHIP RES 100K F 1/16W 0402               6    R713
64.10055.6DL                          CHIP RES 10M F 1/16W 0402                1    PR4707
64.10235.6DL                          CHIP RES 102K F 1/16W 0402(LF)           1    PR4411
64.10535.60L                          CHIP RES 105K F 1/16W 0402               1    PR4817
64.10R05.6DL                          CHIP RES 10 F 1/16W 0402                 4    R2910
64.10R05.6DL                          CHIP RES 10 F 1/16W 0402                 4    R2908
64.10R05.6DL                          CHIP RES 10 F 1/16W 0402                 4    PR4604
64.10R05.6DL                          CHIP RES 10 F 1/16W 0402                 4    PR4421
64.11025.6DL                          CHIP RES 11K F 1/16W 0402                1    PR4708
64.12035.6DL                          CHIP RES 120K F 1/16W 0402               1    PR4432
64.12105.6DL                          CHIP RES 121 F 1/16W 0402                1    R408
64.12435.6DL                          CHIP RES 124K F 1/16W 0402               1    PR4607
64.12715.6DL                          CHIP RES 1.27K F 1/16W 0402              1    PR4603
64.13005.6DL                          CHIP RES 130 F 1/16W 0402                2    PR4630
64.13005.6DL                          CHIP RES 130 F 1/16W 0402                2    R704
64.13315.6DL                          CHIP RES 1.33K F 1/16W 0402              4    R7807
64.13315.6DL                          CHIP RES 1.33K F 1/16W 0402              4    R7806
64.13315.6DL                          CHIP RES 1.33K F 1/16W 0402              4    R7903
64.13315.6DL                          CHIP RES 1.33K F 1/16W 0402              4    R7904
64.13335.6DL                          CHIP RES 133K F 1/16W 0402               1    PR4902
64.13735.6DL                          CHIP RES 137K F 1/16W 0402               1    PR4531
64.15025.6DL                          CHIP RES 15K F 1/16W 0402                1    PR4202
64.15035.6DL                          CHIP RES 150K F 1/16W 0402               2    R5411
64.15035.6DL                          CHIP RES 150K F 1/16W 0402               2    PR4429
64.15425.6DL                          CHIP RES 15.4K F 1/16W 0402              1    PR4527
64.16025.6DL                          CHIP RES 16K F 1/16W 0402                1    PR4617
64.16035.6DL                          CHIP RES 160K F 1/16W 0402               1    PR4437
64.16205.6DL                          CHIP RES 162 F 1/16W 0402                2    R7914
64.16205.6DL                          CHIP RES 162 F 1/16W 0402                2    R7810
64.18015.6DL                          CHIP RES 1.8K F 1/16W 0402               5    R3706
64.18015.6DL                          CHIP RES 1.8K F 1/16W 0402               5    R3703
64.18015.6DL                          CHIP RES 1.8K F 1/16W 0402               5    R3701
64.18015.6DL                          CHIP RES 1.8K F 1/16W 0402               5    R7604
64.18015.6DL                          CHIP RES 1.8K F 1/16W 0402               5    R3709
64.18025.6DL                          CHIP RES 18K F 1/16W 0402                1    PR8209
64.20005.6DL                          CHIP RES 200 F 1/16W 0402                1    R407
64.20015.6DL                          CHIP RES 2K F 1/16W 0402                 2    PR8208
64.20015.6DL                          CHIP RES 2K F 1/16W 0402                 2    R4622
64.20025.6DL                          CHIP RES 20K F 1/16W 0402                4    R7640
64.20025.6DL                          CHIP RES 20K F 1/16W 0402                4    PR8206
64.20025.6DL                          CHIP RES 20K F 1/16W 0402                4    R2433
64.20025.6DL                          CHIP RES 20K F 1/16W 0402                4    PR8222
64.20035.6DL                          CHIP RES 200K F 1/16W 0402               1    R2709
64.21025.6DL                          CHIP RES 21K F 1/16W 0402                1    PR4823
64.22R65.6DL                          CHIP RES 22.6 F 1/16W 0402               1    R1602
64.24305.6DL                          CHIP RES 243 F 1/16W 0402                4    R7913
64.24305.6DL                          CHIP RES 243 F 1/16W 0402                4    R7912
64.24305.6DL                          CHIP RES 243 F 1/16W 0402                4    R7809
64.24305.6DL                          CHIP RES 243 F 1/16W 0402                4    R7808
64.24915.6DL                          CHIP RES 2.49K F 1/16W 0402              2    R3032
64.24915.6DL                          CHIP RES 2.49K F 1/16W 0402              2    R7301
64.24925.6DL                          CHIP RES 24.9K F 1/16W 0402              1    R2608
64.24R95.6DL                          CHIP RES 24.9 F 1/16W 0402               3    R3711
64.24R95.6DL                          CHIP RES 24.9 F 1/16W 0402               3    R801
64.24R95.6DL                          CHIP RES 24.9 F 1/16W 0402               3    R3707
64.2R005.6DL                          CHIP RES 2 F 1/16W 0402                  2    R3708
64.2R005.6DL                          CHIP RES 2 F 1/16W 0402                  2    R3702
64.2R205.55L                          CHIP RES 2.2 F 1/10W 0603(ROHS           3    PR4820
64.2R205.55L                          CHIP RES 2.2 F 1/10W 0603(ROHS           3    PR4905
64.2R205.55L                          CHIP RES 2.2 F 1/10W 0603(ROHS           3    R2403
64.2R205.6DL                          CHIP RES 2.2 F 1/16W 0402                1    PR8202
64.30015.6DL                          CHIP RES 3K F 1/16W 0402                 3    R1906
64.30015.6DL                          CHIP RES 3K F 1/16W 0402                 3    R1601
64.30015.6DL                          CHIP RES 3K F 1/16W 0402                 3    R1803
64.30125.6DL                          CHIP RES 30.1K F 1/16W 0402              1    PR4901
64.30935.6DL                          CHIP RES 309K F 1/16W 0402               1    PR4407
64.33015.6DL                          CHIP RES 3.3K F 1/16W 0402               2    PR4412
64.33015.6DL                          CHIP RES 3.3K F 1/16W 0402               2    PR4415
64.35705.6DL                          CHIP RES 357 F 1/16W 0402                1    PR4705
64.36515.6DL                          CHIP RES 3.65K F 1/16W 0402              1    PR4702
64.38315.6DL                          CHIP RES 3.83K F 1/16W 0402              1    PR4615
64.40225.6DL                          CHIP RES 40.2K F 1/16W 0402              1    R7607
64.40R25.6DL                          CHIP RES 40.2 F 1/16W 0402               1    R7505
64.42R25.6DL                          CHIP RES 42.2 F 1/16W 0402               1    R7507
64.44215.6DL                          CHIP RES 4.42K F 1/16W 0402(RO           1    PR4703
64.47025.6DL                          CHIP RES 47K F 1/16W 0402                3    R712
64.47025.6DL                          CHIP RES 47K F 1/16W 0402                3    PR4431
64.47025.6DL                          CHIP RES 47K F 1/16W 0402                3    R709
64.47035.6DL                          CHIP RES 470K F 1/16W 0402               1    PR4824
64.49905.6DL                          CHIP RES 499 F 1/16W 0402                1    R6103
64.49915.6DL                          CHIP RES 4.99K F 1/16W 0402              2    R7616
64.49915.6DL                          CHIP RES 4.99K F 1/16W 0402              2    R7651
64.49925.6DL                          CHIP RES 49.9K F 1/16W 0402              2    R7602
64.49925.6DL                          CHIP RES 49.9K F 1/16W 0402              2    R7646
64.49935.6DL                          CHIP RES 499K F 1/16W 0402               1    PR8201
64.49R95.6DL                          CHIP RES 49.9 F 1/16W 0402               3    R601
64.49R95.6DL                          CHIP RES 49.9 F 1/16W 0402               3    R602
64.49R95.6DL                          CHIP RES 49.9 F 1/16W 0402               3    R2003
64.51015.6DL                          CHIP RES 5.1K F 1/16W 0402               1    PR4613
64.51R15.6DL                          CHIP RES 51.1 F 1/16W 0402               1    R7506
64.54R95.6DL                          CHIP RES 54.9 F 1/16W 0402               1    PR4620
64.57625.6DL                          CHIP RES 57.6K F 1/16W 0402              1    R2445
64.5R105.6DL                          CHIP RES 5.1 F 1/16W 0402                1    R2110
64.64925.6DL                          CHIP RES 64.9K  F 1/16W 0402             1    R2404
64.66525.6DL                          CHIP RES 66.5K F 1/16W 0402              1    PR4427
64.66R55.6DL                          CHIP RES 66.5 F 1/16W 0402               2    R1206
64.66R55.6DL                          CHIP RES 66.5 F 1/16W 0402               2    R1207
64.68015.6DL                          CHIP RES 6.8K F 1/16W 0402               1    PR4512
64.73225.6DL                          CHIP RES 73.2K F 1/16W 0402              1    PR4517
64.75R05.6DL                          CHIP RES 75 F 1/16W 0402                 1    R703
64.7R505.6DL                          CHIP RES 7.5 F 1/16W 0402                1    PR4420
64.80615.6DL                          CHIP RES 8.06K F 1/16W 0402              1    PR8224
64.82015.6DL                          CHIP RES 8.2K F 1/16W0402(ROHS           2    R1714
64.82015.6DL                          CHIP RES 8.2K F 1/16W0402(ROHS           2    R603
64.84525.6DL                          CHIP RES 84.5K F 1/16W 0402              1    PR4413
64.90925.6DL                          CHIP RES 90.9K F 1/16W 0402              1    PR4614
64.97615.6DL                          CHIP RES 9.76K F 0402(ROHS)              1    PR4526
64.R0105.7FL                          CHIP RES 0.01 F 1W 3720                  2    PR4416
64.R0105.7FL                          CHIP RES 0.01 F 1W 3720                  2    PR4402
66.10136.A8L                          CHIP NTW 100 J 8P 2*1(ROHS)              2    RN5201
66.10136.A8L                          CHIP NTW 100 J 8P 2*1(ROHS)              2    RN4301
66.10236.04L                          CHIP NTW 1K J 4P 1*1 (ROHS)              1    RN1802
66.10336.04L                          CHIP NTW 10K J I 4P 1*1(ROHS)            10   RN1701
66.10336.04L                          CHIP NTW 10K J I 4P 1*1(ROHS)            10   RN1810
66.10336.04L                          CHIP NTW 10K J I 4P 1*1(ROHS)            10   RN2006
66.10336.04L                          CHIP NTW 10K J I 4P 1*1(ROHS)            10   RN2007
